NSE Code,Strategy,Total Traded Value,CMP,Change %,Return Z-Score,Vol Spike (x),RSI,Tech Score,Action,Target,Stop Loss,Diff %
GRSE,ETF Shop Method | DMADMA (No SL),0.0,2654.8,-1.839239261715949e-06,0.1520262203154191,0.0,45.86069939604013,55,Buy | 50 DMA Breakout | CMP > 200 DMA,2821.52,,-4.175968301030617
GVT&D,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),0.0,5148.6,-1.8967534433419535e-06,-0.234494049122752,0.0,74.4096705448115,85,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,5591.88 | 5471.93,4816.14 | 3575.87,
HAL,ETF Shop Method | Super BO Stocks,0.0,4303.8,4.538140923032098e-06,0.0084111953734972,0.0,44.16899217955439,40,Buy | Super BO Buy,4378.24,4058.75,-4.2618150686823055
HDFCAMC,Super BO Stocks,0.0,2674.3,-1.8258282139843464e-06,0.0318584725591914,0.0,47.62976276275214,40,Super BO Buy,2687.42,2513.19,
HDFCBANK,ETF Shop Method,0.0,744.55,1.6395180182206356e-06,0.2368348351784438,0.0,37.22558987656727,15,Buy,,,-2.87697069358847
HDFCLIFE,ETF Shop Method,0.0,594.8,2.0522917711918565e-06,-0.0517977243460386,0.0,42.11427445159634,30,Buy,,,-2.2827512700079646
HEROMOTOCO,Buy Low Sell High | ETF Shop Method,0.0,4903.0,0.0,0.1593476840834532,0.0,39.38135775200352,15,Buy on Support / Demand Level | Buy,5200.69,4801.08,-2.7766072942331173
HFCL,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),0.0,179.94,-1.3567890514332578e-06,-0.3427841050995466,0.0,82.85287628853158,85,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,200.85 | 191.24,164.26 | 85.27,
HINDALCO,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),0.0,1126.7,4.3337292235336345e-06,-0.199675914707163,0.0,62.63480200399764,100,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,1194.75 | 1197.46,1075.66 | 934.65,
HINDCOPPER,ETF Shop Method | DMADMA (Reverse) | DMADMA (No SL),0.0,538.7,-2.266016507873013e-06,-0.0261922663966764,0.0,44.47540197917571,55,Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,583.79 | 572.53,497.87,-3.840490126243167
HINDUNILVR,ETF Shop Method,0.0,2153.5,0.0,0.3639927565315711,0.0,36.81510498276437,20,Buy,,,-3.239357614545201
HINDZINC,DMADMA (Reverse) | DMADMA (No SL),0.0,632.95,-1.9285932489298183e-06,-0.0003666370435203,0.0,53.59214715210694,70,150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,669.47 | 672.7,579.2,
HONASA,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),0.0,406.4,1.501849334135886e-06,-0.3891204508618342,0.0,73.67766368056077,85,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,437.2 | 431.92,383.3 | 302.55,
HSCL,DMADMA (Reverse) | DMADMA (No SL),0.0,606.45,-2.012866841258798e-06,-0.01186006325139,0.0,59.69967136679409,80,150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,663.31 | 644.54,487.7,
IDEA,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),0.0,13.99,1.636038884169111e-06,-0.5593461173666493,0.0,80.66457466982597,85,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,14.95 | 14.87,13.27 | 10.71,
IFBIND,RDX Indicator,0.0,1252.5,0.0,-0.1456466463756677,0.0,66.40341241438125,85,Explosive Buy,1393.67,1146.62,
IFCI,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),0.0,68.53,1.7812682735748808e-06,-0.2242638446351348,0.0,70.03554564388112,85,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,73.87 | 72.83,64.52 | 56.48,
INDUSINDBK,DMADMA (Reverse) | DMADMA (No SL),0.0,914.35,2.670100418288112e-06,0.1187632969305455,0.0,53.07571444943227,70,150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,957.81 | 971.77,878.45,
INDUSTOWER,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),0.0,442.05,2.761459472562132e-06,-0.2654257654705192,0.0,63.609197267808895,100,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,466.39 | 469.81,423.79 | 425.9,
INOXWIND,ETF Shop Method,0.0,93.02,3.608830048287453e-06,0.1847812103955503,0.0,42.37348714884979,40,Buy,,,-5.154218134672052
IOLCP,RDX Indicator | DMADMA (No SL),0.0,128.98,3.312498890365487e-06,-0.3892430436316154,0.0,71.33478273912888,85,Explosive Buy | 50 DMA Breakout | CMP > 200 DMA,142.3 | 137.08,118.99,
ITC,ETF Shop Method,0.0,286.9,2.127401788814546e-06,0.1528055662344127,0.0,40.18217638267024,25,Buy,,,-3.3272072729712
JPPOWER,DMADMA (No SL),0.0,21.87,-3.837372497659938e-06,-0.1195627018000749,0.0,66.17978121359407,95,50 DMA Breakout | CMP > 200 DMA,23.24,,
JSWENERGY,DMADMA (No SL),0.0,595.05,2.0514295361640046e-06,-0.1347704453400477,0.0,67.29567596944544,95,50 DMA Breakout | CMP > 200 DMA,632.42,,
JSWSTEEL,DMADMA (Reverse) | DMADMA (No SL),0.0,1278.0,0.0,-0.0227885486007016,0.0,50.76425849929772,65,150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,1333.61 | 1358.26,1201.16,
JUBLFOOD,ETF Shop Method,0.0,427.5,0.0,0.2148333933114629,0.0,36.79455594882696,15,Buy,,,-5.671305428571481
KAYNES,RDX Indicator | ETF Shop Method,0.0,3133.6,-3.116423508028055e-06,0.1966004949878562,0.0,35.50060907681357,10,Explosive Sell | Buy,3486.26,2869.1,-13.634365220188997
